name;energy;fat;carb;protein;alcohol;iron;salt;vitaminc
Beer, Strong Ale, 7.5-8% Volume;288;0;6.1;0.4;6.1;0.1;17.3;0
Beer Home-Made, Alcohol-Free;36;0;1.8;0.3;0;0.1;5.3;0
Beestings, Colostrum;275;3.4;4.0;4.6;0;0.1;127.4;1.5
Beetroot, Baked;530;9.0;8.6;1.5;0;0.3;1105.7;2.3
Beetroot, Pickled;149;0.2;6.7;1.0;0;0.7;305.8;6.0
Beetroot, Red Beet;186;0.1;8.0;1.4;0;0.2;45.9;3.0
Beetroot And Rice Casserole, Low-Fat Milk;361;2.6;12.1;3.1;0;0.5;735.9;1.7
Beetroot Pesto Sauce;1048;23.2;6.1;4.0;0;0.8;868.2;2.1
Beetroot Soup;153;2.0;3.6;0.7;0;0.1;1509.9;0.4
Berries With Talkkuna Powder;524;1.4;22.0;2.5;0;2.2;202.8;32.6
Berry And Fruit Cultured Milk 2 % Fat;350;2.2;13.0;2.8;0;0.1;113.7;1.0
Berry And Rhubarb Pie, Soft;1054;11.1;32.0;4.6;0;0.6;55.2;6.4
Berry Jelly, Jam Sugar;315;0.4;15.1;0.6;0;0.6;1.6;27.9
Berry Marmalade;824;0.1;46.6;0.7;0;0.3;35.4;3.0
Berry Milk;287;1.2;11.1;2.3;0;0.3;72.4;11.8
Berry Milkshake, Low-Fat Milk, Ice Cream;240;2.1;6.2;2.8;0;0.2;89.6;7.5
Berry Mousse, Cream, Eggs;611;10.4;9.1;2.3;0;0.7;47.5;26.6
Berry Nectar Drink, Sweetened, Contains 50% Berries;532;0.3;29.3;0.6;0;0.4;3.2;43.4
Berry Pie, Basic Sweet Dough, Whole Milk;950;4.3;39.1;5.5;0;0.8;183.5;12.8
Berry Pie, Crushed Berries, Rye Crust;734;1.6;35.0;2.0;0;0.9;417.1;18.8
Berry Pie, Double Crust;1523;17.5;44.8;5.4;0;0.7;364.3;7.4
Berry Pie, Shortbread Crust;1005;11.5;28.3;3.7;0;0.9;198.0;17.5
Berry Pie With Quark Filling;730;5.9;22.1;6.6;0;0.6;242.2;6.8
Berry Pie With Sour Milk, Shortbread Crust;935;11.6;24.0;4.1;0;0.7;185.8;13.5
Berry Puree, Unsweetened, 100% Fruit;219;0.7;7.8;0.8;0;0.7;5.1;16.0
Berry Puree, Unsweetened, Added Vitamin C;230;0.5;9.2;0.7;0;0.7;1.5;30.0
Berry Smoothie With Ice Cream;333;3.0;8.7;2.8;0;0.3;104.7;13.2
Berry Sorbet, Home-Made;224;0.2;9.5;1.9;0;0.4;53.1;17.4
Bilberry Kissel, Bilberry Soup;240;0.2;12.8;0.2;0;0.2;3.6;1.1
Bilberry Or Blueberry, Dried, Bilberry Powder;1267;6.9;25.1;7.6;0;3.5;2.8;0.5
Biscuit;1904;25.8;50.4;4.9;0;0.6;634.1;0
Biscuit, Gingerbread;1800;16.4;68.3;1.7;0;0.6;710.7;0
Biscuit, Snack Biscuit;1854;15.3;73.8;1.3;0;0.1;1126.0;0.2
Biscuit Covered With Chocolate;2061;29.0;50.1;7.2;0;1.2;482.9;0
Biscuit Covered With Dark Chocolate;2027;28.1;51.7;4.9;0;1.9;360.2;0
Black Crowberry;184;0.7;4.2;0.5;0;0.3;4.3;9.0
Blackcurrant;310;1.1;9.7;1.4;0;1.2;5.1;128.0
Black Currant, Dried, Black Currant Powder;1055;3.4;25.8;8.4;0;2.8;6.1;255.0
Black Currant, Leaf;266;0.7;2.5;6.3;0;2.6;3.1;209.0
Blackcurrant Juice, Sweetened, Diluted, Home-Made;149;0;8.4;0.2;0;0.1;14.3;3.9
Blackcurrant Juice, Sweetened, Undiluted, Home-Made;745;0;42.0;0.8;0;0.6;61.1;30.0
Blackcurrant Kissel, Blackcurrant Soup;249;0.2;12.7;0.3;0;0.3;3.6;18.9
Black Salsify;263;0.4;10.5;0.5;0;3.3;12.7;4.0
Black Salsify Soup, Pureed, Cream;235;2.8;5.4;0.7;0;1.1;721.1;2.2
Black Salsify Stew;469;4.9;12.2;0.7;0;3.6;548.5;5.0
Blended Spread 40%, Kevyt Levi, Low-Lactose;1582;40.0;2.0;4.0;0;0.1;1200.1;0
Blended Spread 40%, Low-Lactose;1637;40.8;2.2;4.0;0;0.1;1274.0;0.5
Blended Spread 60%;2254;60.0;0.5;0.5;0;0.1;1223.0;0
Blended Spread 75%, Lactose-Free;2802;75.0;0.5;1.1;0;0.2;1197.6;0
Blin With Fat-Free Milk;848;10.4;19.3;7.2;0;1.1;629.2;0.8
Blin With Low-Fat Milk;878;11.2;19.3;7.1;0;1.1;624.5;0.7
Blin With Low-Fat Milk, Barley Flour;699;7.0;18.6;6.4;0;1.1;797.2;0.7
Blin With Whole Milk 3.5%;923;12.5;19.3;7.1;0;1.1;629.2;0.7
Blood;218;0.4;0.1;11.8;0;41.9;1337.7;1.0
Blood Bread, Rye And Barley Bread With Blood;545;4.3;14.0;7.5;0;20.2;1380.8;0.3
Blood Pancake;726;10.4;12.2;7.3;0;19.1;1763.1;0.7
Blood Pancake, Atria/Kartanon, Lidl;728;5.3;18.0;12.0;0;21.6;2038.4;0.4
Blood Pancake, Industrial;676;6.4;16.2;8.5;0;21.6;1717.0;0.5
Blood Pancake, Pirkka;733;5.7;20.4;9.1;0;21.6;1656.0;0.4
Blood Sausage, Black Sausage;906;10.3;18.6;9.7;0;7.5;1725.1;0.1
Bloody Mary;366;0.2;2.2;0.4;10.5;0.1;1557.7;10.4
Blueberries With Talkkuna Powder, Cream And Quark;788;11.0;15.9;5.2;0;0.9;208.4;1.8
Blueberry;257;0.3;12.5;0.3;0;0.8;1.8;15.6
Blueberry, Bilberry;271;1.1;10.2;0.8;0;0.6;5.1;7.2
Blueberry Pie, Industrial, Fazer;1798;20.1;56.5;4.6;0;0.5;398.9;0.4
Blueberry Puree, Sweetened;414;1.0;19.2;0.7;0;0.5;4.6;4.2
Blue Cheese Sauce, Thickened With Flour And Fat;836;16.1;5.7;7.6;0;0.1;894.3;0.7
Bog Bilberry, Bog Whortleberry;161;0.7;6.3;0.4;0;0.1;4.3;26.2
Boiled Coffee Drink;16;0.1;0.3;0.3;0;0.1;0.5;0
Boiled Karelian Pasty, Rice Filling In Rye Crust;1054;16.9;19.9;3.8;0;1.0;1311.9;0.1
Bolete;116;0.6;2.0;2.1;0;0.4;3.6;0.2
Bolognese, Beef Mince;604;9.7;2.3;11.2;0;1.2;561.2;5.7
Bolognese, Beef Steak Mince;449;5.1;2.3;12.2;0;1.9;536.6;5.7
Bolognese, Minced Lamb;586;9.7;2.3;10.4;0;1.2;565.2;5.6
Bolognese, Pork Beef Mince;716;13.0;2.4;10.7;0;0.8;565.7;5.9
Bolognese, Pork Beef Mince, Thickened;670;11.4;4.2;9.7;0;0.8;495.8;5.2
Bolognese, Reindeer Mince, Crème Fraiche;468;6.6;3.4;8.5;0;2.6;524.7;6.0
Bolognese Gravy Mix, Knorr;1398;4.5;58.0;12.0;0;1.5;10192.0;36.1
Borsch With Beef;133;0.5;2.1;4.1;0;0.6;444.6;4.6
Borsch With Frankfurters;221;3.1;2.3;2.5;0;0.2;776.4;4.7
Bread Porridge, Lingonberries, Rye Bread, Semolina;283;0.2;14.5;1.0;0;0.2;243.9;1.1
Breakfast Cereal, Bran Flakes, Whole Wheat Flakes;1498;2.4;65.7;11.2;0;5.7;1689.6;0
Breakfast Cereal, Cheerios, Oat, Nestle;1611;6.3;66.6;10.9;0;4.8;840.5;0
Breakfast Cereal, Corn Flakes;1578;0.8;82.1;7.7;0;8.0;1783.6;0
Breakfast Cereal, Weetabix Original, Vitamins;1436;2.3;62.3;12.4;0;12.0;298.2;0
Breakfast Cereal, Honey Monster Sugar Puffs;1619;1.1;85.8;5.3;0;7.0;2.3;0.1
Breast Milk;273;3.5;7.4;1.1;0;0.1;51.0;6.0
Broccoli;146;0.5;1.6;3.9;0;0.7;33.1;65.1
Broccoli, Boiled, Salt;144;0.5;1.6;3.9;0;0.7;1018.9;41.9
Broccoli, Boiled Without Salt;146;0.5;1.6;3.9;0;0.7;33.1;42.3
Broccoli Stew;356;3.6;7.5;4.3;0;0.5;470.4;24.5
Brown Gravy, No Added Fat;112;0.1;5.4;0.8;0;0.1;866.0;0
Brown Gravy, Thickened With Fat And Flour;375;7.2;5.4;0.9;0;0.1;707.0;0.1
Brown Gravy, Thickened With Oil And Flour;248;4.1;4.7;0.8;0;0.1;781.1;0
Brownie Cookie, Industrial;2117;26.8;59.9;5.3;0;1.1;155.9;0
Brussels Sprout;173;0.1;3.9;3.6;0;0.4;35.7;108.0
Brussels Sprout, Boiled, Salt;171;0.1;3.8;3.6;0;0.4;1021.4;69.5
Brussels Sprout, Boiled Without Salt;173;0.1;3.9;3.6;0;0.4;35.7;70.2
Buckwheat, Boiled, Salt;548;0.8;24.2;5.2;0;1.5;496.6;0
Buckwheat Porridge, Milk, Salt;410;1.7;14.8;5.0;0;0.7;547.5;1.0
Buckwheat Porridge, Water, Salt;261;0.4;11.5;2.5;0;0.7;499.1;0
Bun, Berry And Quark Filling, Rainbow;1408;7.2;60.7;7.5;0;0.5;536.1;1.9
Bun, Cinnamon Bun, Big Texas, Fazer;1587;17.0;48.0;6.6;0;0.5;595.9;0
Bun, Cinnamon Bun, High-Fat, Whole Milk, Butter;1399;12.3;46.8;7.7;0;0.6;480.0;0.2
Bun, Cinnamon Bun, Industrial, Water;1366;12.4;45.6;6.8;0;0.6;335.3;0.1
Bun, Fat-Free Milk Powder, Bakery;1242;7.5;48.1;7.8;0;0.6;352.4;0.2
Burbot Stew;404;4.3;1.7;12.3;0;0.4;664.5;0.5
Butter;3042;81.3;0.8;1.2;0;0.2;1508.4;0
Butter, High-Sodium;3042;81.3;0.8;1.2;0;0.2;1999.9;0
Butter, Low-Sodium;3042;81.3;0.8;1.2;0;0.2;764.4;0
Butter, Unsalted;3042;81.3;0.8;1.2;0;0.2;0;0
Butter Biscuit, Sondey Butterkeks Classics, Lidl;1889;11.0;78.0;8.0;0;0.7;286.3;0.1
Butter Chicken;675;11.2;3.5;10.9;0;0.3;1063.1;3.1
Butter Cream, Chocolate Swiss Roll Filling;2502;49.9;38.2;0.4;0;0.1;575.6;0.1
Butter Dough, Oven-Baked;1847;33.3;30.5;5.0;0;0.4;879.0;0
Butter Dough With Potato Puree;1562;24.9;31.8;5.0;0;0.6;776.3;1.9
Butter Dough With Quark;1713;29.4;28.0;7.9;0;0.4;923.0;0.4
Butter Lactose-Free;3042;81.3;0.8;1.2;0;0.2;1019.2;0
Butter Lactose-Free, Low Sodium;3042;81.3;0.8;1.2;0;0.2;815.4;0
Cabbage, Boiled Without Salt;151;0.1;5.7;1.4;0;0.2;15.2;27.5
Cabbage, Carrot And Beef Mince Casserole, Beef Stock;423;6.8;4.4;4.7;0;0.6;498.9;13.6
Cabbage, Fried;370;6.1;5.6;1.4;0;0.2;53.1;24.8
Cabbage Casserole, Pork Beef Mince, Low-Fat Milk;570;6.1;13.0;6.3;0;0.6;416.1;13.9
Cabbage Casserole, Without Meat;331;1.3;12.8;2.9;0;0.4;442.3;15.8
Cabbage Patty Without Meat;413;6.4;5.3;3.5;0;0.5;1140.3;23.4
Cabbage Pie, Butter Dough;950;16.0;16.9;3.0;0;0.3;750.5;13.4
Cabbage Soup With Beef;202;2.0;2.3;4.5;0;0.6;502.7;11.2
Cabbage Soup With Potatoes;80;0.1;3.5;0.6;0;0.2;685.8;7.5
Caesar Salad;1017;19.4;10.9;6.2;0;0.7;597.6;3.8
Caesar Salad With Shrimps;848;15.0;8.3;8.6;0;1.5;555.1;2.9
Cafe Au Lait, Unsweetened, Whole Milk;145;1.9;2.6;1.7;0;0.1;58.6;0.5
Cafe Latte, Unsweetened, Whole Milk;188;2.5;3.4;2.2;0;0.1;78.0;0.7
Cake, Almond Cake, Almondy, Frozen;1478;22.3;28.0;9.7;0;1.3;696.1;0.8
Cake, Cheese Cake, Oven-Baked;1546;23.9;31.9;6.8;0;0.7;572.6;0.3
Cake, Cheese Cake Almondy, Frozen;1287;25.9;11.8;6.8;0;0.5;288.1;0.5
Cake, Chocolate Cake, Milk-Free;1485;13.0;54.0;3.6;0;0.9;579.8;0
Cake, Chocolate Muffin;1872;28.0;41.7;6.5;0;1.6;593.6;0.1
Cake, Daim Cake, Almondy, Frozen;1838;28.5;38.2;7.4;0;0.6;662.8;0.8
Cake, Ice Cream Cake, Caramel Topping;1241;13.0;39.2;4.8;0;0.7;101.0;0.7
Cake, Mocha Cake;1596;15.0;55.4;5.2;0;0.6;536.2;0.1
Cake, Mocha Cake;1569;14.8;55.3;3.6;0;0.8;537.2;0.1
Cake, Mud Cake, Butter, Without Flour;1884;31.0;33.8;7.1;0;2.8;472.7;0
Cake, Muffin;1905;24.6;53.8;4.6;0;3.0;246.1;0.1
Cake, Muffin;1631;22.2;42.9;4.8;0;0.7;208.5;0
Cake, Plain Cake, Muffin;1580;18.2;45.6;7.0;0;0.8;590.2;0.2
Cake, Raw Blackcurrant Cake;1411;26.5;18.0;4.5;0;1.7;136.1;25.4
Cake, Raw Carrot Cake;1103;16.8;18.8;7.1;0;2.1;106.6;7.0
Cake, Raw Chocolate Cake;1941;38.5;21.4;6.5;0;2.3;73.3;3.2
Cake, Raw Mango Cake;1563;27.7;21.7;8.0;0;2.2;194.6;14.4
Cake, Raw Raspberry Cake;1697;33.1;19.2;6.3;0;2.1;73.1;9.7
Cake, Sacher Cake;1791;28.1;37.7;5.5;0;1.6;480.9;0.3
Cake, Tiramisu;1096;14.4;25.6;5.5;0.8;0.6;431.6;0.6
Cake, Tosca Cake;1879;27.4;43.0;7.0;0;1.0;418.9;0.1
Cake Coating, Mocha;1639;7.2;79.9;0.5;0;0.3;80.6;0.1
Canneloni, Pork Beef Mince Filling;560;6.9;10.9;6.8;0;0.8;534.8;0.2
Canneloni, Tuna Filling;539;4.1;11.7;10.8;0;0.9;734.2;0.2
Cappuccino, Unsweetened, Whole Milk;188;2.4;3.4;2.2;0;0.1;77.2;0.7
Caramel Sauce;817;14.3;15.0;1.9;0;0.1;69.6;0.7
Caramel Sauce, Toffee Sauce;1570;24.8;36.9;1.4;0;0.7;82.1;0.5
Carrot;137;0.2;5.6;0.6;0;0.5;63.7;6.5
Carrot, Baked;477;9.1;6.0;0.7;0;0.6;1124.8;4.9
Carrot, Boiled Without Salt;140;0.2;5.7;0.6;0;0.5;65.0;4.3
Carrot, Dried;1124;1.6;45.8;5.2;0;2.5;682.9;11.0
Carrot, Fried;378;6.3;6.3;0.7;0;0.6;667.5;4.4
Carrot Casserole, Low-Fat Milk;505;3.1;17.7;4.1;0;0.7;788.3;3.3
Carrot Patty, Contains Soy Protein, Apetit;817;13.7;12.1;4.8;0;1.1;1035.2;5.4
Carrot Pie, Butter Dough;1156;19.6;19.6;4.9;0;0.7;1595.1;1.5
Carrot Rice Pasty, Whole Milk;687;9.2;15.1;4.5;0;0.8;545.4;1.8
Carrot Stew;208;2.1;5.8;0.9;0;0.3;547.8;2.6
Cashew Nut Drink, Unsweetened, Gogreen;86;1.5;0.9;0.7;0;0.2;101.9;0
Cauliflower;102;0.2;2.4;2.0;0;0.5;8.7;51.8
Cauliflower, Boiled Without Salt;102;0.2;2.4;2.0;0;0.5;8.7;33.7
Cauliflower Stew;328;3.4;7.8;3.2;0;0.4;449.1;19.9
Celeriac, Boiled Without Salt;94;0.1;2.6;1.3;0;0.3;137.8;2.1
Celeriac, Mashed;234;1.8;6.5;2.4;0;0.3;619.2;3.7
Celery;53;0.2;1.1;1.1;0;0.3;272.4;6.0
